REFERENCE	 DEGRADED	 PESQMOS	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
enh.wav	 enh.wav	 SQValue=4.500	 4.500	 0.000	 0	 16000	0.0000
 enh.wav	 noy.wav	 SQValue=2.838	 2.838	 0.000	 0	 16000	-0.0280
 enh.wav	 cln.wav	 SQValue=3.053	 3.053	 0.000	 0	 16000	-0.0160
 enh.wav	 enh.wav	 SQValue=4.500	 4.500	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.424	 1.424	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=4.500	 4.500	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=4.500	 4.500	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=4.500	 4.500	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=0.682	 0.682	 0.000	 0	 16000	-0.8760
 cln_1.wav	 enh_1.wav	 SQValue=2.203	 2.203	 0.000	 0	 16000	-0.6520
 cln_1.wav	 enh_1.wav	 SQValue=2.893	 2.893	 0.000	 0	 16000	-1.0360
 cln_1.wav	 enh_1.wav	 SQValue=2.187	 2.187	 0.000	 0	 16000	-0.4600
 cln_1.wav	 enh_1.wav	 SQValue=1.795	 1.795	 0.000	 0	 16000	-0.8520
 cln_1.wav	 enh_1.wav	 SQValue=1.648	 1.648	 0.000	 0	 16000	-0.1080
 cln_1.wav	 enh_1.wav	 SQValue=1.899	 1.899	 0.000	 0	 16000	-0.6160
 cln_1.wav	 enh_1.wav	 SQValue=0.864	 0.864	 0.000	 0	 16000	-0.4200
 cln_1.wav	 enh_1.wav	 SQValue=1.374	 1.374	 0.000	 0	 16000	-0.6440
 cln_1.wav	 enh_1.wav	 SQValue=1.278	 1.278	 0.000	 0	 16000	-0.1480
 cln_1.wav	 enh_1.wav	 SQValue=1.394	 1.394	 0.000	 0	 16000	0.1800
